iter	MultiClass
0	2.340156329
1	2.279740503
2	2.203060726
3	2.136930935
4	2.078915421
5	2.031190122
6	1.989094603
7	1.948376931
8	1.912561746
9	1.872590568
10	1.836698135
11	1.801288109
12	1.773279047
13	1.750746794
14	1.723073422
15	1.694450653
16	1.672296756
17	1.651496453
18	1.633127753
19	1.610509408
20	1.591161098
21	1.574276044
22	1.558306992
23	1.539313016
24	1.521620236
25	1.504879651
26	1.488488943
27	1.4734818
28	1.459491015
29	1.444212375
30	1.432579623
31	1.420853316
32	1.41006254
33	1.401348954
34	1.393845576
35	1.385127711
36	1.373003827
37	1.365055422
38	1.358308259
39	1.351270246
40	1.340946311
41	1.333446762
42	1.324899062
43	1.316103329
44	1.304748855
45	1.294988458
46	1.286050703
47	1.276896949
48	1.270949672
49	1.264504808
50	1.254733159
51	1.247156154
52	1.238190844
53	1.233922282
54	1.225430464
55	1.216002802
56	1.208983018
57	1.20429845
58	1.195926273
59	1.189430034
60	1.182861548
61	1.17884847
62	1.173765378
63	1.169070066
64	1.162765948
65	1.155692146
66	1.149057009
67	1.144660955
68	1.140764714
69	1.134637684
70	1.129007658
71	1.122690837
72	1.118779006
73	1.113699953
74	1.105066822
75	1.101242652
76	1.092625304
77	1.086538228
78	1.082827555
79	1.077867397
80	1.074283615
81	1.070434886
82	1.067510173
83	1.062797751
84	1.060112533
85	1.051206392
86	1.047223495
87	1.044452724
88	1.037913643
89	1.035191532
90	1.032195596
91	1.030506288
92	1.02327204
93	1.018552387
94	1.013697965
95	1.010872244
96	1.004755973
97	0.9984814592
98	0.9927301573
99	0.9879714992
100	0.9823725631
101	0.9782327176
102	0.974112883
103	0.9702867609
104	0.9666596788
105	0.9614674908
106	0.9574122783
107	0.9525381523
108	0.9508235688
109	0.9482043168
110	0.9446313891
111	0.941052291
112	0.9364021276
113	0.9341050402
114	0.9281288238
115	0.9222026656
116	0.9197340961
117	0.9147807429
118	0.909877144
119	0.9067178772
120	0.9043812516
121	0.9005318467
122	0.8994940058
123	0.8961402323
124	0.8938221008
125	0.8890100445
126	0.8855478268
127	0.8847067791
128	0.8804081955
129	0.8772276276
130	0.8725691304
131	0.8677348319
132	0.8637473385
133	0.8590627426
134	0.857450966
135	0.8530616254
136	0.8485946992
137	0.8451370712
138	0.8429975149
139	0.8415447037
140	0.8375624199
141	0.8344780351
142	0.8312713653
143	0.828646927
144	0.8241419061
145	0.8202505188
146	0.8170764126
147	0.81400705
148	0.8103673897
149	0.8066352749
150	0.8042568104
151	0.7992181842
152	0.7963969833
153	0.7949162136
154	0.7919925384
155	0.7897997302
156	0.7869165417
157	0.7827135449
158	0.778009034
159	0.7765941735
160	0.7723192698
161	0.7694131723
162	0.769033163
163	0.767054753
164	0.7649418978
165	0.7607169002
166	0.7570681069
167	0.7564034515
168	0.7527169141
169	0.7475411185
170	0.7440795928
171	0.7413538433
172	0.7386097805
173	0.736934658
174	0.7360720511
175	0.7351128912
176	0.7335353999
177	0.730671152
178	0.728455522
179	0.7247699078
180	0.7204379171
181	0.718021641
182	0.7144922197
183	0.7130673539
184	0.7100798067
185	0.7072169079
186	0.7043753424
187	0.7008638348
188	0.6979158991
189	0.6967729122
190	0.6957582055
191	0.6922118823
192	0.6900593942
193	0.6870890336
194	0.6852704551
195	0.6845456908
196	0.6827070747
197	0.6794781518
198	0.6788316417
199	0.6782606031
200	0.6772822046
201	0.6733753026
202	0.6692787444
203	0.6665458611
204	0.6634478601
205	0.6617446661
206	0.6589320985
207	0.6580476217
208	0.6552473746
209	0.6546570296
210	0.6518384573
211	0.6505676091
212	0.6481701998
213	0.6460609496
214	0.641324665
215	0.6394023021
216	0.6374942093
217	0.6359163926
218	0.6341561755
219	0.6319902988
220	0.6314193407
221	0.6301775488
222	0.6279965035
223	0.6257908984
224	0.6253883942
225	0.6240182714
226	0.6222894207
227	0.6202972324
228	0.618528685
229	0.6174401939
230	0.6139667984
231	0.6109158288
232	0.6079220501
233	0.6060142399
234	0.6041472163
235	0.6012097224
236	0.5973547638
237	0.5960783285
238	0.5936853521
239	0.5928699303
240	0.5911055645
241	0.5902919716
242	0.5884398516
243	0.5875536036
244	0.5872146676
245	0.5867883127
246	0.5840972762
247	0.5811787427
248	0.5779429402
249	0.5759810498
250	0.5749813488
251	0.5732957771
252	0.5723704198
253	0.5695579912
254	0.5692067435
255	0.5670560529
256	0.5640038656
257	0.5620659152
258	0.561317301
259	0.5601790775
260	0.5569684772
261	0.5555115901
262	0.5541473981
263	0.5532782865
264	0.5516049571
265	0.5491066483
266	0.5470120889
267	0.546184363
268	0.5451971537
269	0.5429130294
270	0.5426221599
271	0.5412627838
272	0.5392326247
273	0.5382194943
274	0.537125426
275	0.5367434242
276	0.534650918
277	0.5338072193
278	0.5312511212
279	0.5302168713
280	0.5294684374
281	0.5274515576
282	0.5258726907
283	0.5234534687
284	0.5224081013
285	0.5219070403
286	0.5208605927
287	0.5188777905
288	0.5164992464
289	0.5139235342
290	0.5125045605
291	0.5100003189
292	0.5089054189
293	0.5068760484
294	0.5048648013
295	0.5034703677
296	0.5024541796
297	0.501927013
298	0.500718444
299	0.4992598419
