iter	Passed	Remaining
0	5	1786
1	12	1810
2	18	1791
3	24	1835
4	31	1854
5	37	1851
6	44	1860
7	52	1901
8	59	1915
9	65	1889
10	72	1909
11	79	1913
12	85	1880
13	92	1896
14	100	1902
15	106	1883
16	112	1865
17	118	1858
18	124	1841
19	131	1841
20	140	1860
21	145	1843
22	154	1861
23	161	1857
24	168	1856
25	178	1879
26	186	1883
27	193	1878
28	202	1895
29	215	1941
30	224	1950
31	232	1948
32	240	1944
33	247	1933
34	254	1928
35	260	1912
36	268	1909
37	275	1898
38	282	1891
39	289	1883
40	296	1871
41	302	1859
42	308	1844
43	314	1829
44	320	1817
45	326	1805
46	333	1793
47	340	1787
48	346	1772
49	354	1770
50	362	1772
51	369	1760
52	375	1752
53	382	1741
54	387	1727
55	395	1723
56	402	1716
57	409	1709
58	415	1695
59	420	1682
60	427	1673
61	432	1660
62	437	1646
63	442	1633
64	448	1621
65	453	1609
66	460	1600
67	466	1591
68	472	1582
69	477	1570
70	483	1559
71	489	1550
72	495	1542
73	501	1530
74	506	1520
75	512	1509
76	518	1500
77	524	1493
78	530	1483
79	536	1475
80	542	1467
81	548	1457
82	553	1447
83	559	1438
84	564	1428
85	569	1418
86	575	1408
87	581	1401
88	589	1397
89	596	1391
90	602	1383
91	607	1374
92	613	1365
93	619	1356
94	624	1348
95	630	1340
96	636	1331
97	642	1323
98	648	1316
99	654	1308
100	659	1300
101	665	1292
102	671	1284
103	677	1276
104	682	1268
105	688	1260
106	693	1251
107	699	1243
108	705	1236
109	711	1228
110	717	1221
111	722	1213
112	728	1205
113	734	1198
114	741	1192
115	746	1183
116	752	1176
117	757	1168
118	763	1161
119	772	1158
120	777	1150
121	783	1142
122	788	1134
123	794	1127
124	800	1120
125	806	1114
126	812	1107
127	818	1100
128	825	1094
129	833	1089
130	839	1082
131	844	1074
132	851	1068
133	857	1061
134	863	1054
135	869	1048
136	875	1041
137	881	1034
138	889	1029
139	896	1024
140	901	1017
141	907	1009
142	913	1002
143	919	995
144	925	988
145	931	982
146	937	975
147	943	968
148	949	961
149	954	954
150	960	947
151	966	940
152	972	934
153	977	926
154	984	920
155	990	914
156	996	907
157	1004	902
158	1009	895
159	1015	888
160	1021	881
161	1026	874
162	1032	868
163	1038	861
164	1044	854
165	1050	848
166	1056	841
167	1062	834
168	1069	828
169	1075	822
170	1084	817
171	1090	811
172	1096	804
173	1101	797
174	1107	791
175	1113	784
176	1118	777
177	1124	770
178	1130	764
179	1136	757
180	1142	750
181	1147	744
182	1153	737
183	1160	731
184	1166	724
185	1171	717
186	1177	711
187	1182	704
188	1189	698
189	1196	692
190	1202	686
191	1209	680
192	1216	674
193	1224	669
194	1230	662
195	1237	656
196	1243	650
197	1249	643
198	1254	636
199	1260	630
200	1266	623
201	1270	616
202	1276	609
203	1281	603
204	1288	596
205	1294	590
206	1300	584
207	1306	577
208	1312	571
209	1318	564
210	1324	558
211	1330	552
212	1336	545
213	1341	539
214	1348	532
215	1353	526
216	1359	519
217	1365	513
218	1371	507
219	1377	500
220	1384	494
221	1390	488
222	1396	482
223	1403	476
224	1409	469
225	1416	463
226	1421	457
227	1426	450
228	1432	444
229	1440	438
230	1445	431
231	1450	425
232	1456	418
233	1462	412
234	1467	405
235	1474	399
236	1479	393
237	1485	386
238	1492	380
239	1498	374
240	1505	368
241	1512	362
242	1517	355
243	1525	350
244	1531	343
245	1537	337
246	1543	331
247	1550	325
248	1556	318
249	1564	312
250	1570	306
251	1577	300
252	1582	294
253	1590	287
254	1595	281
255	1601	275
256	1607	268
257	1613	262
258	1618	256
259	1623	249
260	1629	243
261	1636	237
262	1642	231
263	1648	224
264	1654	218
265	1659	212
266	1665	205
267	1670	199
268	1676	193
269	1682	186
270	1688	180
271	1694	174
272	1699	168
273	1707	162
274	1712	155
275	1719	149
276	1725	143
277	1731	137
278	1736	130
279	1743	124
280	1748	118
281	1754	111
282	1760	105
283	1765	99
284	1772	93
285	1778	87
286	1785	80
287	1791	74
288	1797	68
289	1803	62
290	1809	55
291	1814	49
292	1821	43
293	1826	37
294	1832	31
295	1840	24
296	1846	18
297	1855	12
298	1865	6
299	1871	0
